,dong,fuel,num
0,서초구 내곡동 ,electric,177
0,강남구 신사동 ,electric,136
0,강남구 논현1동 ,electric,136
0,강남구 논현2동 ,electric,170
0,강남구 압구정동 ,electric,238
0,강남구 청담동 ,electric,285
0,강남구 삼성1동 ,electric,190
0,강남구 삼성2동 ,electric,201
0,강남구 대치1동 ,electric,5599
0,강남구 대치2동 ,electric,1710
0,강남구 대치4동 ,electric,2565
0,강남구 역삼1동 ,electric,913
0,강남구 역삼2동 ,electric,300
0,강남구 도곡1동 ,electric,114
0,강남구 도곡2동 ,electric,215
0,강남구 개포1동 ,electric,48
0,강남구 개포2동 ,electric,225
0,기타,electric,82
0,강남구 개포4동 ,electric,118
0,강남구 세곡동 ,electric,360
0,강남구 일원본동 ,electric,110
0,강남구 일원1동 ,electric,135
0,강남구 일원2동 ,electric,90
0,강남구 수서동 ,electric,86
0,송파구 풍납1동 ,electric,57
0,송파구 풍납2동 ,electric,95
0,송파구 거여1동 ,electric,41
0,송파구 거여2동 ,electric,123
0,송파구 마천1동 ,electric,58
0,송파구 마천2동 ,electric,78
0,송파구 방이1동 ,electric,74
0,송파구 방이2동 ,electric,92
0,송파구 오륜동 ,electric,64
0,송파구 오금동 ,electric,152
0,송파구 송파1동 ,electric,69
0,송파구 송파2동 ,electric,63
0,송파구 석촌동 ,electric,119
0,송파구 삼전동 ,electric,109
0,송파구 가락본동 ,electric,119
0,송파구 가락1동 ,electric,221
0,송파구 가락2동 ,electric,106
0,송파구 문정1동 ,electric,134
0,송파구 문정2동 ,electric,224
0,송파구 장지동 ,electric,176
0,송파구 위례동 ,electric,295
0,송파구 잠실본동 ,electric,113
0,송파구 잠실2동 ,electric,198
0,송파구 잠실3동 ,electric,167
0,송파구 잠실4동 ,electric,163
0,송파구 잠실6동 ,electric,122
0,송파구 잠실7동 ,electric,41
0,강동구 강일동 ,electric,235
0,강동구 상일동 ,electric,77
0,강동구 상일제1동 ,electric,203
0,강동구 상일제2동 ,electric,34
0,강동구 명일1동 ,electric,93
0,강동구 명일2동 ,electric,49
0,강동구 고덕1동 ,electric,150
0,강동구 고덕2동 ,electric,156
0,강동구 암사1동 ,electric,99
0,강동구 암사2동 ,electric,82
0,강동구 암사3동 ,electric,60
0,강동구 천호1동 ,electric,102
0,강동구 천호2동 ,electric,82
0,강동구 천호3동 ,electric,97
0,강동구 성내1동 ,electric,99
0,강동구 성내2동 ,electric,120
0,강동구 성내3동 ,electric,71
0,강동구 길동 ,electric,376
0,강동구 둔촌1동 ,electric,13
0,강동구 둔촌2동 ,electric,73
