,dong,Latitude,Longitude,fuel,num
0,강서구 화곡4동,37.534564,126.860704,hybrid,229
0,강서구 화곡본동,37.5424076,126.8478197,hybrid,341
0,강서구 화곡6동,37.5517566,126.8500658,hybrid,405
0,강서구 화곡8동,37.541913,126.840023,hybrid,247
0,강서구 가양1동,37.5601758,126.8356925,hybrid,2944
0,강서구 가양2동,37.5673658,126.8512874,hybrid,210
0,강서구 가양3동,37.5603668,126.8595091,hybrid,284
0,강서구 발산1동,37.5530894,126.8331507,hybrid,849
0,강서구 우장산동,37.5506026,126.84121,hybrid,883
0,강서구 공항동,37.5542807,126.7970146,hybrid,467
0,강서구 방화1동,37.5703967,126.8168004,hybrid,804
0,강서구 방화2동,,,hybrid,318
0,강서구 방화3동,37.578697,126.8135408,hybrid,341
0,구로구 신도림동,37.5099675,126.8822494,hybrid,818
0,구로구 구로1동,37.4911533,126.8751484,hybrid,845
0,구로구 구로2동,37.4906813,126.8832031,hybrid,378
0,구로구 구로3동,37.4857376,126.8933134,hybrid,370
0,구로구 구로4동,37.4912855,126.8896338,hybrid,206
0,구로구 구로5동,37.5019652,126.8878603,hybrid,574
0,구로구 가리봉동,37.4826987,126.888039,hybrid,81
0,구로구 고척1동,37.5007315,126.863272,hybrid,456
0,구로구 고척2동,37.501741,126.8507277,hybrid,367
0,구로구 개봉1동,37.500167,126.8510677,hybrid,484
0,구로구 개봉2동,37.4922632,126.8557315,hybrid,492
0,구로구 개봉3동,37.4862822,126.8530035,hybrid,202
0,구로구 오류1동,37.4969319,126.8413087,hybrid,310
0,구로구 오류2동,37.4907638,126.8408739,hybrid,583
0,구로구 수궁동,37.4972347,126.8267526,hybrid,308
0,구로구 항동,37.4810886,126.8236073,hybrid,274
0,금천구 가산동,37.4766861,126.8837772,hybrid,1080
0,금천구 독산1동,37.470184,126.8970357,hybrid,967
0,금천구 독산2동,37.4637022,126.9022592,hybrid,174
0,금천구 독산3동,37.4759326,126.9045313,hybrid,289
0,금천구 독산4동,37.467366,126.901941,hybrid,135
0,금천구 시흥1동,37.4535473,126.90323,hybrid,490
0,금천구 시흥2동,37.449608,126.914405,hybrid,374
0,금천구 시흥3동,37.440274,126.9048714,hybrid,154
