,dong,Latitude,Longitude,fuel,num
0,은평구 불광1동,37.6158738,126.9335258,electric,94
0,은평구 불광2동,37.6239169,126.9269733,electric,46
0,은평구 갈현1동,37.6246865,126.9157626,electric,31
0,은평구 갈현2동,37.6176447,126.9131039,electric,45
0,은평구 구산동,37.611231,126.9088437,electric,87
0,은평구 대조동,37.6120477,126.923359,electric,42
0,은평구 응암1동,37.5990491,126.9261628,electric,103
0,은평구 응암2동,37.5921823,126.9221307,electric,120
0,은평구 응암3동,37.5892206,126.9180335,electric,61
0,은평구 역촌동,37.6045773,126.9146251,electric,99
0,은평구 신사1동,37.5986664,126.910344,electric,115
0,은평구 신사2동,37.5929504,126.9073938,electric,104
0,은평구 증산동,37.5841679,126.9059643,electric,74
0,은평구 수색동,37.5861575,126.8933245,electric,56
0,은평구 진관동,37.6396512,126.9378404,electric,299
0,서대문구 천연동,37.5679249,126.959429,electric,45
0,서대문구 북아현동,37.5624168,126.9543856,electric,65
0,서대문구 충현동,37.5638038,126.9593339,electric,161
0,서대문구 신촌동,37.5650797,126.9399549,electric,51
0,서대문구 연희동,37.5719815,126.9328285,electric,163
0,서대문구 홍제1동,37.5876705,126.9449444,electric,77
0,서대문구 홍제3동,37.5928868,126.9489057,electric,44
0,서대문구 홍제2동,37.5860597,126.9493607,electric,33
0,서대문구 홍은1동,37.5988376,126.9471453,electric,73
0,서대문구 홍은2동,37.586809,126.9323952,electric,94
0,서대문구 남가좌1동,37.5740091,126.9198012,electric,82
0,서대문구 남가좌2동,37.5783935,126.9238634,electric,92
0,서대문구 북가좌1동,37.574273,126.9101854,electric,129
0,서대문구 북가좌2동,37.581292,126.911326,electric,112
0,마포구 아현동,37.5544849,126.9562273,electric,132
0,마포구 공덕동,37.5481125,126.9549965,electric,162
0,마포구 도화동,37.5389594,126.9491776,electric,73
0,마포구 용강동,37.542285,126.9430588,electric,149
0,마포구 대흥동,37.5497599,126.9431416,electric,43
0,마포구 염리동,37.5491616,126.9472617,electric,163
0,마포구 신수동,37.548572,126.9368133,electric,96
0,마포구 서강동,37.5486093,126.9262631,electric,96
0,마포구 서교동,37.5537811,126.9186768,electric,119
0,마포구 합정동,37.5483014,126.9111751,electric,83
0,마포구 망원1동,37.5555904,126.9055602,electric,126
0,마포구 망원2동,37.560312,126.9022827,electric,50
0,마포구 연남동,37.5627439,126.9214088,electric,55
0,마포구 성산1동,37.5633395,126.9078931,electric,85
0,마포구 성산2동,37.5685712,126.9089833,electric,142
0,마포구 상암동,37.5707485,126.8798744,electric,202
0,양천구 목1동,37.5270981,126.8738365,electric,178
0,양천구 목2동,37.5433544,126.8738358,electric,70
0,양천구 목3동,37.5448276,126.8659699,electric,53
0,양천구 목4동,37.5358976,126.8679926,electric,68
0,양천구 목5동,37.5361674,126.8797993,electric,158
0,양천구 신월1동,37.531678,126.8343716,electric,93
0,양천구 신월2동,37.5233458,126.8465282,electric,72
0,양천구 신월3동,37.533,126.8273275,electric,46
0,양천구 신월4동,37.5219895,126.8400824,electric,56
0,양천구 신월5동,37.540557,126.8299859,electric,50
0,양천구 신월6동,37.5163837,126.8421653,electric,151
0,양천구 신월7동,37.5193027,126.8311042,electric,54
0,양천구 신정1동,37.5190637,126.8581825,electric,186
0,양천구 신정2동,37.5189275,126.8743632,electric,81
0,양천구 신정3동,37.51334,126.8423542,electric,187
